511145.12	83332.12	24	0.012030
511145.12	764298.7	17	0.008534
511145.12	176280.10	4	0.001984
511145.12	242231.10	20	0.010010
511145.12	208964.12	33	0.016984
511145.12	871585.3	22	0.011452
511145.12	160490.10	5	0.002458
511145.12	192222.6	2	0.001027
511145.12	169963.11	7	0.003486
83332.12	764298.7	3	0.001440
83332.12	176280.10	6	0.002869
83332.12	242231.10	2	0.000956
83332.12	208964.12	24	0.011828
83332.12	871585.3	0	0.000000
83332.12	160490.10	0	0.000000
83332.12	192222.6	2	0.000988
83332.12	169963.11	1	0.000478
764298.7	176280.10	35	0.017057
764298.7	242231.10	2	0.000960
764298.7	208964.12	0	0.000000
764298.7	871585.3	14	0.007014
764298.7	160490.10	33	0.015919
764298.7	192222.6	2	0.000993
764298.7	169963.11	17	0.008232
176280.10	242231.10	3	0.001433
176280.10	208964.12	0	0.000000
176280.10	871585.3	10	0.004973
176280.10	160490.10	28	0.013404
176280.10	192222.6	21	0.010463
176280.10	169963.11	35	0.017007
242231.10	208964.12	14	0.006869
242231.10	871585.3	8	0.003978
242231.10	160490.10	12	0.005706
242231.10	192222.6	2	0.000988
242231.10	169963.11	4	0.001917
208964.12	871585.3	2	0.001013
208964.12	160490.10	3	0.001449
208964.12	192222.6	0	0.000000
208964.12	169963.11	7	0.003428
871585.3	160490.10	18	0.008902
871585.3	192222.6	17	0.008790
871585.3	169963.11	11	0.005486
160490.10	192222.6	9	0.004416
160490.10	169963.11	26	0.012464
192222.6	169963.11	9	0.004469
